company_name,yc_batch,location,short_description,yc_company_url,website_url
Doordash,SUMMER 2013,,,https://www.ycombinator.com/companies/doordash,http://doordash.com
Airbnb,WINTER 2009,,,https://www.ycombinator.com/companies/airbnb,http://airbnb.com
